date	count	package
2023-01-12	3	ottrpal
2023-01-13	12	ottrpal
2023-01-14	2	ottrpal
2023-01-15	11	ottrpal
2023-01-16	4	ottrpal
2023-01-17	14	ottrpal
2023-01-18	9	ottrpal
2023-01-19	11	ottrpal
2023-01-20	2	ottrpal
2023-01-21	7	ottrpal
2023-01-22	10	ottrpal
2023-01-23	2	ottrpal
2023-01-24	5	ottrpal
2023-01-25	3	ottrpal
2023-01-26	7	ottrpal
2023-01-27	12	ottrpal
2023-01-28	3	ottrpal
2023-01-29	5	ottrpal
2023-01-30	4	ottrpal
2023-01-31	5	ottrpal
2023-02-01	8	ottrpal
2023-02-02	11	ottrpal
2023-02-03	6	ottrpal
2023-02-04	1	ottrpal
2023-02-05	5	ottrpal
2023-02-06	4	ottrpal
2023-02-07	15	ottrpal
2023-02-08	9	ottrpal
2023-02-09	11	ottrpal
2023-02-10	3	ottrpal
2023-02-11	8	ottrpal
2023-02-12	5	ottrpal
2023-02-13	7	ottrpal
2023-02-14	8	ottrpal
2023-02-15	13	ottrpal
2023-02-16	5	ottrpal
2023-02-17	7	ottrpal
2023-02-18	1	ottrpal
2023-02-19	1	ottrpal
2023-02-20	1	ottrpal
2023-02-21	8	ottrpal
2023-02-22	7	ottrpal
2023-02-23	7	ottrpal
2023-02-24	6	ottrpal
2023-02-25	1	ottrpal
2023-02-26	3	ottrpal
2023-02-27	10	ottrpal
2023-02-28	5	ottrpal
2023-03-01	5	ottrpal
2023-03-02	8	ottrpal
2023-03-03	7	ottrpal
2023-03-04	5	ottrpal
2023-03-05	3	ottrpal
2023-03-06	6	ottrpal
2023-03-08	4	ottrpal
2023-03-09	4	ottrpal
2023-03-10	9	ottrpal
2023-03-11	6	ottrpal
2023-03-12	5	ottrpal
2023-03-13	13	ottrpal
2023-03-14	3	ottrpal
2023-03-15	8	ottrpal
2023-03-16	14	ottrpal
2023-03-17	3	ottrpal
2023-03-18	7	ottrpal
2023-03-20	19	ottrpal
2023-03-21	9	ottrpal
2023-03-22	7	ottrpal
2023-03-23	2	ottrpal
2023-03-24	3	ottrpal
2023-03-25	4	ottrpal
2023-03-26	9	ottrpal
2023-03-27	12	ottrpal
2023-03-28	5	ottrpal
2023-03-29	7	ottrpal
2023-03-30	1	ottrpal
2023-03-31	3	ottrpal
2023-04-01	4	ottrpal
2023-04-02	3	ottrpal
2023-04-03	5	ottrpal
2023-04-04	3	ottrpal
2023-04-05	5	ottrpal
2023-04-06	5	ottrpal
2023-04-07	8	ottrpal
2023-04-08	5	ottrpal
2023-04-09	2	ottrpal
2023-04-10	6	ottrpal
2023-04-11	3	ottrpal
2023-04-12	10	ottrpal
2023-04-13	5	ottrpal
2023-04-14	11	ottrpal
2023-04-15	2	ottrpal
2023-04-16	3	ottrpal
2023-04-17	4	ottrpal
2023-04-18	6	ottrpal
2023-04-19	18	ottrpal
